Brand Name,Category,Occasion,Color Theme,Style,Color,Pattern,Season,Material,Price Range,Rating,Popularity,Availability,Discount
Khaadi,Women's Wear,Walima,N/A,Top,Blue,Floral,Winter,Chiffon,Medium,3.8,Low,In Stock,25%
Nishat Linen,Women's Wear,Eid,N/A,Dress,Green,Polka Dot,Summer,Linen,High,4.8,Medium,In Stock,10%
Alkaram,Kids' Wear,Wedding,N/A,Pants,White,Plain,Winter,Linen,Medium,5.0,Medium,Out of Stock,15%
Alkaram,Women's Wear,Party,N/A,Skirt,Red,Plain,Summer,Wool,Low,3.5,High,Out of Stock,25%
Ego,Kids' Wear,Casual,N/A,Pants,Green,Printed,Winter,Cotton,Medium,4.7,Low,Out of Stock,5%
Ego,Kids' Wear,Mehendi,Green,Skirt,Red,Printed,Summer,Cotton,Low,3.6,Medium,Out of Stock,0%
Gul Ahmed,Women's Wear,Formal,N/A,Dress,Green,Geometric,Summer,Chiffon,High,4.4,Medium,Out of Stock,15%
Ego,Women's Wear,Formal,N/A,Skirt,Pink,Striped,Summer,Chiffon,High,3.6,Medium,Out of Stock,10%
Bonanza,Women's Wear,Mehendi,Blue,Top,Green,Plain,Winter,Wool,Low,4.7,High,Out of Stock,15%
Gul Ahmed,Women's Wear,Formal,N/A,Pants,White,Plain,Summer,Wool,High,3.2,Low,In Stock,10%
Khaadi,Women's Wear,Formal,N/A,Skirt,Purple,Floral,Summer,Linen,High,3.3,Medium,In Stock,20%
Gul Ahmed,Kids' Wear,Casual,N/A,Skirt,Red,Printed,Summer,Cotton,High,4.0,Medium,Out of Stock,0%
Alkaram,Kids' Wear,Casual,N/A,Top,Purple,Floral,Summer,Wool,High,4.9,High,Out of Stock,10%
Sana Safinaz,Kids' Wear,Casual,N/A,Skirt,White,Embroidered,Winter,Silk,High,3.7,Low,In Stock,5%
Gul Ahmed,Kids' Wear,Formal,N/A,Top,White,Plain,Summer,Silk,Medium,3.2,Medium,In Stock,20%
Gul Ahmed,Women's Wear,Wedding,N/A,Dress,Black,Plain,Winter,Wool,High,4.9,Low,Out of Stock,10%
Gul Ahmed,Women's Wear,Walima,N/A,Dress,White,Striped,Summer,Wool,Medium,3.6,High,Out of Stock,15%
Bonanza,Women's Wear,Mehendi,Green,Skirt,Yellow,Printed,Summer,Chiffon,High,3.2,Low,Out of Stock,20%
Satrangi,Kids' Wear,Party,N/A,Top,Purple,Striped,Winter,Silk,High,4.4,Low,Out of Stock,25%
Ego,Women's Wear,Wedding,N/A,Pants,Green,Geometric,Winter,Silk,Medium,4.0,Low,In Stock,0%
Sana Safinaz,Kids' Wear,Party,N/A,Top,Pink,Plain,Winter,Cotton,Medium,3.9,Medium,Out of Stock,25%
Nishat Linen,Women's Wear,Mehendi,N/A,Pants,Red,Plain,Summer,Chiffon,Medium,3.2,Medium,In Stock,10%
Nishat Linen,Women's Wear,Beach,N/A,Skirt,White,Geometric,Summer,Wool,High,4.7,Medium,In Stock,5%
Ego,Women's Wear,Beach,N/A,Pants,Green,Plain,Winter,Linen,Low,3.2,Medium,In Stock,10%
Gul Ahmed,Women's Wear,Formal,N/A,Skirt,Pink,Printed,Winter,Chiffon,Medium,4.9,Low,Out of Stock,25%
Khaadi,Kids' Wear,Beach,N/A,Dress,Red,Embroidered,Winter,Silk,Low,4.2,Medium,In Stock,15%
Ego,Women's Wear,Wedding,N/A,Top,Purple,Geometric,Winter,Chiffon,Medium,4.2,High,In Stock,25%
Nishat Linen,Women's Wear,Beach,N/A,Dress,Pink,Geometric,Winter,Linen,High,4.0,High,In Stock,5%
Khaadi,Women's Wear,Party,N/A,Dress,Green,Polka Dot,Summer,Chiffon,High,3.3,High,In Stock,5%
Gul Ahmed,Kids' Wear,Mehendi,Yellow,Pants,Blue,Embroidered,Winter,Linen,Medium,4.2,Medium,Out of Stock,25%
Nishat Linen,Women's Wear,Formal,N/A,Top,Blue,Plain,Winter,Silk,Low,4.9,Medium,Out of Stock,20%
Nishat Linen,Kids' Wear,Formal,N/A,Top,Pink,Printed,Summer,Cotton,Low,3.5,Medium,Out of Stock,20%
Satrangi,Women's Wear,Eid,N/A,Top,Purple,Printed,Winter,Wool,Medium,4.2,Low,Out of Stock,25%
Alkaram,Women's Wear,Casual,N/A,Top,Red,Geometric,Winter,Chiffon,High,3.6,High,In Stock,20%
Bonanza,Women's Wear,Walima,N/A,Top,Blue,Printed,Winter,Chiffon,High,3.3,Medium,Out of Stock,0%
Sana Safinaz,Kids' Wear,Wedding,N/A,Dress,White,Floral,Summer,Linen,Medium,3.8,Medium,In Stock,10%
Sana Safinaz,Women's Wear,Wedding,N/A,Skirt,Blue,Polka Dot,Winter,Wool,Low,4.4,Medium,In Stock,10%
Khaadi,Women's Wear,Mehendi,Green,Dress,Red,Geometric,Winter,Chiffon,High,3.2,Low,Out of Stock,5%
Bonanza,Women's Wear,Wedding,N/A,Dress,Red,Striped,Summer,Silk,Low,4.9,High,In Stock,15%
Ego,Women's Wear,Party,N/A,Pants,Blue,Striped,Winter,Cotton,Medium,4.6,Medium,In Stock,15%
Satrangi,Kids' Wear,Party,N/A,Pants,Black,Plain,Summer,Cotton,Medium,4.3,Medium,Out of Stock,10%
Nishat Linen,Women's Wear,Beach,N/A,Skirt,White,Polka Dot,Winter,Linen,High,4.8,Low,Out of Stock,0%
Khaadi,Kids' Wear,Mehendi,Red,Dress,Pink,Floral,Winter,Cotton,Low,4.7,Low,In Stock,25%
Satrangi,Women's Wear,Casual,N/A,Pants,Red,Geometric,Summer,Cotton,Low,4.9,Low,Out of Stock,20%
Sana Safinaz,Women's Wear,Formal,N/A,Dress,White,Floral,Summer,Wool,Low,3.9,High,In Stock,0%
Sana Safinaz,Kids' Wear,Wedding,N/A,Dress,White,Polka Dot,Summer,Cotton,Medium,3.6,Low,Out of Stock,15%
Bonanza,Kids' Wear,Wedding,N/A,Top,Green,Striped,Summer,Chiffon,High,3.8,Low,In Stock,10%
Gul Ahmed,Kids' Wear,Walima,N/A,Top,Green,Printed,Summer,Wool,High,3.6,Low,In Stock,15%
Ego,Kids' Wear,Wedding,N/A,Dress,Red,Floral,Winter,Linen,Low,3.3,High,Out of Stock,25%
Sana Safinaz,Kids' Wear,Walima,N/A,Top,Pink,Printed,Summer,Silk,Medium,4.3,Medium,In Stock,10%
Satrangi,Women's Wear,Walima,N/A,Skirt,Red,Polka Dot,Summer,Cotton,Low,4.9,Medium,In Stock,25%
Alkaram,Women's Wear,Mehendi,Yellow,Skirt,Green,Floral,Winter,Wool,Low,3.2,High,Out of Stock,15%
Ego,Women's Wear,Beach,N/A,Skirt,Purple,Printed,Summer,Wool,Low,4.0,Low,Out of Stock,20%
Satrangi,Kids' Wear,Beach,N/A,Top,Black,Plain,Summer,Wool,Medium,4.1,High,Out of Stock,20%
Sana Safinaz,Kids' Wear,Eid,N/A,Top,Blue,Floral,Winter,Chiffon,Low,3.7,Low,In Stock,20%
Alkaram,Kids' Wear,Wedding,N/A,Dress,Black,Embroidered,Summer,Linen,High,4.6,Low,In Stock,25%
Ego,Women's Wear,Wedding,N/A,Pants,Yellow,Plain,Summer,Cotton,High,4.9,High,In Stock,10%
Gul Ahmed,Women's Wear,Wedding,N/A,Skirt,Yellow,Plain,Summer,Cotton,Medium,4.9,Medium,In Stock,10%
Satrangi,Kids' Wear,Party,N/A,Skirt,Purple,Embroidered,Winter,Chiffon,High,4.6,Medium,Out of Stock,10%
Nishat Linen,Kids' Wear,Party,N/A,Top,Yellow,Printed,Summer,Chiffon,Low,4.9,Medium,In Stock,0%
Alkaram,Women's Wear,Party,N/A,Pants,Purple,Embroidered,Winter,Silk,High,3.5,Medium,In Stock,5%
Sana Safinaz,Kids' Wear,Formal,N/A,Top,Purple,Embroidered,Winter,Wool,Medium,3.5,Medium,In Stock,25%
Gul Ahmed,Kids' Wear,Formal,N/A,Dress,Green,Geometric,Winter,Silk,Medium,4.0,Low,Out of Stock,15%
Satrangi,Kids' Wear,Casual,N/A,Pants,Pink,Printed,Summer,Cotton,Medium,4.0,Low,Out of Stock,5%
Nishat Linen,Women's Wear,Mehendi,Blue,Top,Green,Plain,Summer,Cotton,Low,3.0,Medium,Out of Stock,0%
Alkaram,Women's Wear,Party,N/A,Dress,Blue,Printed,Summer,Linen,High,5.0,High,Out of Stock,5%
Satrangi,Women's Wear,Mehendi,Yellow,Skirt,Black,Polka Dot,Summer,Chiffon,High,4.4,High,In Stock,20%
Gul Ahmed,Women's Wear,Eid,N/A,Pants,Pink,Plain,Summer,Cotton,Low,3.3,Low,In Stock,15%
Ego,Women's Wear,Beach,N/A,Pants,Yellow,Polka Dot,Summer,Silk,Low,4.6,Low,Out of Stock,20%
Bonanza,Kids' Wear,Party,N/A,Skirt,Yellow,Geometric,Winter,Wool,Medium,4.1,Low,Out of Stock,20%
Sana Safinaz,Women's Wear,Walima,N/A,Dress,Green,Striped,Winter,Linen,High,4.3,High,Out of Stock,0%
Khaadi,Women's Wear,Beach,N/A,Dress,Green,Striped,Winter,Silk,High,3.0,Medium,In Stock,0%
Sana Safinaz,Women's Wear,Beach,N/A,Pants,Black,Geometric,Summer,Chiffon,High,3.2,Medium,In Stock,10%
Ego,Women's Wear,Beach,N/A,Pants,Blue,Striped,Summer,Cotton,Medium,4.8,Medium,Out of Stock,5%
Alkaram,Kids' Wear,Mehendi,Green,Top,White,Striped,Winter,Silk,High,3.3,High,Out of Stock,0%
Khaadi,Women's Wear,Walima,N/A,Skirt,Green,Floral,Winter,Linen,Low,4.7,Medium,Out of Stock,25%
Bonanza,Kids' Wear,Formal,N/A,Skirt,Purple,Plain,Winter,Cotton,Low,4.7,Low,In Stock,0%
Bonanza,Kids' Wear,Walima,N/A,Skirt,Pink,Embroidered,Summer,Cotton,Medium,3.9,Medium,In Stock,25%
Alkaram,Women's Wear,Mehendi,Red,Dress,White,Geometric,Winter,Silk,High,4.2,Low,Out of Stock,10%
Nishat Linen,Kids' Wear,Walima,N/A,Skirt,Blue,Polka Dot,Summer,Cotton,Low,4.9,High,Out of Stock,25%
Alkaram,Women's Wear,Eid,N/A,Dress,Green,Floral,Winter,Wool,High,3.7,High,In Stock,5%
Alkaram,Women's Wear,Mehendi,Blue,Skirt,Pink,Striped,Summer,Linen,High,4.9,Medium,In Stock,15%
Satrangi,Kids' Wear,Wedding,N/A,Top,Black,Floral,Summer,Silk,Low,4.9,High,Out of Stock,20%
Sana Safinaz,Kids' Wear,Wedding,N/A,Top,Purple,Embroidered,Winter,Cotton,High,4.1,Medium,In Stock,20%
Khaadi,Women's Wear,Wedding,N/A,Pants,Pink,Plain,Summer,Chiffon,Medium,3.9,Low,In Stock,20%
Ego,Women's Wear,Walima,N/A,Top,Pink,Floral,Winter,Wool,High,4.1,Medium,In Stock,5%
Ego,Women's Wear,Beach,N/A,Skirt,Black,Geometric,Winter,Linen,Low,3.2,Medium,In Stock,25%
Gul Ahmed,Kids' Wear,Walima,N/A,Dress,White,Striped,Summer,Wool,Medium,4.9,Medium,Out of Stock,15%
Satrangi,Kids' Wear,Mehendi,N/A,Top,Pink,Plain,Winter,Linen,Low,4.9,Medium,Out of Stock,5%
Satrangi,Women's Wear,Wedding,N/A,Skirt,Blue,Polka Dot,Winter,Silk,Low,4.0,Low,Out of Stock,0%
Bonanza,Kids' Wear,Casual,N/A,Top,Black,Plain,Winter,Silk,Low,4.7,High,In Stock,10%
Alkaram,Kids' Wear,Walima,N/A,Dress,Yellow,Floral,Winter,Chiffon,Medium,4.5,High,In Stock,5%
Bonanza,Women's Wear,Beach,N/A,Pants,White,Striped,Winter,Silk,Medium,3.2,Medium,In Stock,10%
Sana Safinaz,Women's Wear,Walima,N/A,Skirt,Black,Printed,Winter,Silk,Medium,4.9,Medium,In Stock,20%
Satrangi,Kids' Wear,Eid,N/A,Dress,Yellow,Embroidered,Winter,Wool,Low,3.2,Low,In Stock,10%
Alkaram,Kids' Wear,Beach,N/A,Skirt,Red,Polka Dot,Winter,Wool,High,4.8,Low,In Stock,20%
Gul Ahmed,Women's Wear,Party,N/A,Top,Pink,Geometric,Winter,Chiffon,High,5.0,High,Out of Stock,5%
Bonanza,Kids' Wear,Walima,N/A,Dress,Pink,Striped,Winter,Cotton,Low,3.8,High,Out of Stock,15%
Bonanza,Women's Wear,Wedding,N/A,Top,Purple,Printed,Winter,Silk,Medium,4.8,Medium,Out of Stock,0%
Bonanza,Kids' Wear,Casual,N/A,Skirt,Yellow,Plain,Winter,Silk,Medium,3.2,Medium,In Stock,20%
Alkaram,Kids' Wear,Beach,N/A,Pants,Blue,Striped,Winter,Linen,Medium,4.9,Low,Out of Stock,25%
Khaadi,Kids' Wear,Casual,N/A,Skirt,Blue,Embroidered,Summer,Chiffon,Medium,5.0,Low,In Stock,25%
Ego,Kids' Wear,Casual,N/A,Dress,Blue,Floral,Summer,Linen,Low,4.9,Low,Out of Stock,15%
Sana Safinaz,Women's Wear,Eid,N/A,Dress,Red,Plain,Summer,Chiffon,Low,4.9,Medium,In Stock,5%
Khaadi,Women's Wear,Beach,N/A,Pants,Green,Geometric,Winter,Linen,High,3.2,High,In Stock,15%
Ego,Kids' Wear,Casual,N/A,Dress,Red,Polka Dot,Summer,Chiffon,Medium,3.8,Low,Out of Stock,20%
Sana Safinaz,Kids' Wear,Wedding,N/A,Pants,Black,Floral,Winter,Linen,Low,4.0,Medium,Out of Stock,15%
Gul Ahmed,Women's Wear,Beach,N/A,Dress,Pink,Embroidered,Winter,Linen,High,4.9,High,Out of Stock,15%
Ego,Kids' Wear,Wedding,N/A,Dress,Pink,Striped,Winter,Wool,Low,4.8,Medium,In Stock,25%
Sana Safinaz,Kids' Wear,Casual,N/A,Pants,Black,Striped,Summer,Silk,Medium,4.7,High,In Stock,25%
Gul Ahmed,Women's Wear,Eid,N/A,Skirt,Black,Geometric,Winter,Wool,Medium,4.0,Low,In Stock,20%
Gul Ahmed,Kids' Wear,Mehendi,N/A,Dress,Yellow,Floral,Summer,Cotton,Low,4.2,High,Out of Stock,25%
Bonanza,Women's Wear,Mehendi,N/A,Dress,Red,Printed,Winter,Chiffon,Medium,4.0,High,In Stock,10%
Sana Safinaz,Kids' Wear,Mehendi,Blue,Top,Yellow,Geometric,Winter,Cotton,High,3.1,Low,Out of Stock,20%
Alkaram,Kids' Wear,Eid,N/A,Skirt,Pink,Striped,Summer,Silk,Low,3.6,Low,In Stock,0%
Gul Ahmed,Women's Wear,Eid,N/A,Top,Black,Plain,Winter,Linen,High,4.7,Low,In Stock,20%
Khaadi,Kids' Wear,Mehendi,Yellow,Skirt,Purple,Floral,Winter,Chiffon,Medium,4.1,Low,Out of Stock,25%
Sana Safinaz,Kids' Wear,Beach,N/A,Dress,Yellow,Plain,Winter,Chiffon,High,3.4,Medium,In Stock,25%
Sana Safinaz,Kids' Wear,Mehendi,N/A,Skirt,Green,Polka Dot,Summer,Chiffon,Medium,3.9,Low,Out of Stock,25%
Nishat Linen,Women's Wear,Party,N/A,Pants,Yellow,Printed,Summer,Wool,Medium,3.1,Low,Out of Stock,10%
Gul Ahmed,Women's Wear,Wedding,N/A,Skirt,Red,Floral,Winter,Wool,High,4.9,Low,Out of Stock,10%
Gul Ahmed,Women's Wear,Casual,N/A,Pants,Purple,Embroidered,Summer,Cotton,High,3.8,High,Out of Stock,25%
Alkaram,Kids' Wear,Party,N/A,Skirt,Green,Plain,Winter,Chiffon,High,3.3,Low,Out of Stock,5%
Khaadi,Women's Wear,Formal,N/A,Top,White,Printed,Summer,Linen,High,3.8,Medium,Out of Stock,15%
Alkaram,Kids' Wear,Beach,N/A,Dress,Blue,Polka Dot,Winter,Chiffon,Low,3.6,Low,In Stock,15%
Alkaram,Women's Wear,Eid,N/A,Dress,Pink,Printed,Winter,Chiffon,High,3.0,Low,In Stock,25%
Sana Safinaz,Women's Wear,Casual,N/A,Top,Pink,Printed,Summer,Silk,Medium,4.7,Medium,In Stock,0%
Ego,Women's Wear,Party,N/A,Skirt,Blue,Floral,Winter,Linen,Low,3.2,Medium,Out of Stock,0%
Satrangi,Kids' Wear,Formal,N/A,Pants,Black,Printed,Summer,Silk,Low,4.9,Medium,In Stock,5%
Satrangi,Kids' Wear,Party,N/A,Top,Green,Floral,Summer,Silk,Medium,4.5,Low,Out of Stock,25%
Alkaram,Kids' Wear,Eid,N/A,Top,White,Geometric,Summer,Wool,Low,3.5,High,In Stock,5%
Satrangi,Kids' Wear,Beach,N/A,Top,Blue,Floral,Summer,Chiffon,High,3.2,Medium,In Stock,0%
Khaadi,Kids' Wear,Beach,N/A,Top,Green,Printed,Winter,Silk,Low,3.3,High,In Stock,5%
Nishat Linen,Women's Wear,Beach,N/A,Top,Red,Embroidered,Summer,Chiffon,Medium,3.8,High,Out of Stock,0%
Bonanza,Women's Wear,Casual,N/A,Skirt,White,Embroidered,Summer,Chiffon,High,4.4,Medium,Out of Stock,20%
Sana Safinaz,Women's Wear,Walima,N/A,Top,Blue,Plain,Summer,Wool,High,4.5,Low,In Stock,10%
